id,question,author,answer,date,answer_relevance
38961,"In the light of the great news that Lite-On and LG are bringing thousands of new jobs to Scotland and Wales, does my right hon. Friend agree that breaking up the United Kingdom, creating an extra tier of regional government, surrounding it all in bureaucracy and making the Scots pay more tax is likely to scare away potential new investors? Is this not new Labour being new danger?","Mrs. Lait","I am delighted to welcome these substantial new investments to Scotland and Wales. They are the latest of a large number of inward investments that we have seen not only in Scotland and Wales but in other parts of the United Kingdom. I certainly hope that we shall get more. They are coming here predominantly because of the economic environment——because this country is an economic success story— The hon. Member for Carrick, Cumnock and Doon Valley (Mr. Foulkes) is chuntering in the back row. He seems to forget that they have been coming here for 15 years under Conservative policies, because we have created a combination of lower inflation, lower taxes and lower costs. That is attractive not just to companies in this country but to world investors seeking the right country in which to place their money. I am delighted that they place it here. It would be a tragedy if policies were followed that would prevent them from doing so in future.",1996-07-16,NULL
39078,"Perhaps the Prime Minister can tell us of a successful company in Britain that does not give its work force a holiday. If the directive is so dreadful, why did the Minister not vote against it when he had the chance to do so? May we be clear about the Government's position at the intergovernmental conference? Will the Prime Minister confirm that his position is this: all member states must agree at the outset of the conference that no progress will be made on any change proposed by any country in respect of any issue until the directive is reversed? Is that his position? If the directive is so dreadful, why did the Minister not vote against it when he had the chance to do so? May we be clear about the Government's position at the intergovernmental conference? Will the Prime Minister confirm that his position is this: all member states must agree at the outset of the conference that no progress will be made on any change proposed by any country in respect of any issue until the directive is reversed? Is that his position?","Mr. Blair","If the right hon. Gentleman's first point was correct, why do we need the directive? He made precisely the Government's point. Such directives pile burdens on business and they are bound to undermine our economic success. Their damage to the fruits of our economic success will affect the extra resources that we  are providing to the health service, as my right hon. Friend the Secretary of State for Health will set out in a White Paper tomorrow. They will damage the provision of opportunity for all four-year-olds to have nursery education, as my right hon. Friend the Secretary of State for Education and Employment will set out tomorrow. I am not prepared to allow the product of years of good, sound economic management to be undermined by regulation from Brussels. I shall tell the right hon. Gentleman precisely what the position is at the intergovernmental conference: it is exactly the same as it was on the social chapter at Maastricht. I shall not accept what has been determined by the court today and, at the end of the intergovernmental conference, I shall demand that change or there will be no end to the intergovernmental conference.",1996-11-12,NULL
39195,"Can we cut out all the claptrap? The top 10 per cent. of earners in this country have done very  well, and people earning more than £64,000 are not paying higher taxes under the Tory Government. But the poor people—the most disadvantaged in our society—have seen their incomes fall and their tax demands go up. Is that fair? Should not the broadest backs bear the heaviest burden?","Mr. Mackinlay","If the hon. Gentleman wants to cut out claptrap, he should remain seated in future. The reality is that, as they were at between 83p and 98p when the Conservative Government came to power, it is hardly surprising if those upper rates of taxation have fallen. At the moment, one in four taxpayers—28 per cent., to be precise—now pay tax at only 20p in the pound and we  seek to bring more people within that rate, so that the basic rate becomes 20p in the pound. That is a fair tax system, and we are delivering it.",1996-12-03,NULL
39312,"I see now: it is now our fault that they cannot run a halfway competent Government. Why does the Prime Minister not simply call a halt to what is the fag end of a burnt-out Government? They have no legislative programme left and the country is tired of waiting: March—not March; May—not May. If they are so confident, why does not the Prime Minister, just for once, put a stop to the dithering, name the day and call a general election?","Mr. Blair","The right hon. Gentleman clearly is not aware of the importance of the legislation that he has just dismissed. He clearly does not want the legislation against crime that we are proposing. He clearly  does not want the tougher sentences that we are proposing and he certainly does not want the educational choice for everyone that he himself has enjoyed.",1997-01-28,NULL
39429,"I assume that the Transport Secretary will tell us the precise percentage of money that will be reinvested in transport.  Conservative Members may shout, but is not London Underground worth £7 billion to £13 billion, and do not many people fear that, once again, a key public service will be sold off at a fraction of its true value so that a few people can make a vastly inflated profit with no guarantee of a proper service for the future?","Mr. Blair","The answer to each of the right hon. Gentleman's questions is no. He is wrong on almost every point, as will become clear in a few moments. I find it extraordinary that the only two places in the world where privatisation is reviled and state ownership preferred are the Labour party and North Korea. No wonder the hon. Member for Great Grimsby (Mr. Mitchell) called the right hon. Gentleman the Kim Il Sung of the Labour party.",1997-02-25,NULL
39546,"Will the Prime Minister confirm that he could, if he wished, without any impact on the date of the general election, extend the life of this Parliament by the few days necessary to allow Sir Gordon Downey to publish his report? If so, I suggest that as soon as he leaves here, he nips down to the palace, has a quiet word with Her Majesty and puts an end to this distasteful business once and for all.","Mr. Mullin","There has already been a Privy Council to determine Prorogation, and I have no intention of changing it. Prorogation always follows within days of an election announcement. When I announced the date of the election and Prorogation, the House was not surprised— There was no surprise about the date of Prorogation, and when I announced it there was no representation then or at any time in the past, publicly or privately, from the Labour party about changing the date—not once. It was not until the unemployment figures were leaked that this became an issue.",1997-03-20,NULL
39663,"The Prime Minister's respect is reciprocated, but the question remains and I fear that it remains unanswered. Will the departmental ceilings, such as that on the distribution of the contingency reserve, be allowed to increase?","Mr. Ashdown","I entirely understand the problems that there are in the health service and in our education service. I do not think that Conservative Members should be shouting about that; they created those problems. We must do the best we can within the overall limits of public finance, because of the enormous debt burden that we have inherited and the need to take tough action. We simply cannot avoid that, but within those limits we shall do what we can.",1997-06-25,NULL
39780,"Does my right hon. Friend recognise that the worry that many of us will have about access to further and higher education will be that people might be deterred because of financial circumstances? Specifically, will he consider the issue of longer courses such as medicine and the Scottish four-year honours degree, which I very much hope will be retained? Those courses might cause considerable difficulties if we do not think carefully where we are going. I seek reassurance from my right hon. Friend on those questions. ","Mrs. Fyfe","My hon. Friend can be given those assurances. First, in relation to higher education in Scotland, we will of course consider very carefully the special position of Scotland.",1997-07-23,NULL
39897,"Does my right hon. Friend agree that the further education sector has been treated appallingly over the past 18 years, having been subjected by the previous Government to alternating periods of neglect, especially in terms of funding, and harassment? Is it not still the Cinderella service of our education system, when it should be regarded as its linchpin? Will he tell the House what the Government are going to do to correct that?","Mr. Pickthall","My hon. Friend is absolutely right to draw attention to the dire financial situation that further education colleges were left in by the previous Government's policies. I am delighted, therefore, that my right hon. Friend the Secretary of State for Education and Employment today announced a major new boost for further education. An extra £83 million in new funding will be made available next year, and colleges will also be able to bid for more than £100 million new deal money for education and training. That is new money, which would never have been put in by the previous Government.",1997-11-12,NULL
40014,"The Prime Minister will often be asked that question if he does not answer it. It was his Minister for Welfare Reform who said that","Mr. Hague","First, my right hon. Friend did not say that. Secondly, what is important in relation to means testing benefits or anything else is that we try to make sure that we design the right system for the future. It is not sensible to speculate on the outcome of the review of that system until it is complete. When it is complete, people will have ample opportunity to discuss the proposals that we have made. The plain fact is that the welfare system is not working at present. It is the  system that we inherited from the right hon. Gentleman's Government—his Government failed, and I want my Government to succeed.",1998-01-14,NULL
40131,"What meetings he has held with representatives of housing groups in London; and if he will make a statement.","Mr. Corbyn","I have not held meetings since the election specifically with representatives of housing groups in London. We are engaged in a programme that will help much of housing in London, particularly by the release of capital receipts.",1998-02-11,NULL
40248,"As I am sure the Prime Minister will want to acknowledge the achievements of the previous Government in giving the further education sector independence and pressing forward to advance adult literacy measures, will he explain his priorities in converting the White Paper that was promised into the Green Paper on adult learning that was delivered?","Mr. Boswell","We have always made it clear that there should be a proper process of consultation. Some elements in that—for example, the individual learning accounts and the extra £150 million that we are putting into them—will happen in any event, which is  extremely important. I acknowledge that the previous Government made some changes in adult literacy that we would support, but they cut funding drastically—particularly funding for further education, which was cut way below its tenable level. That is precisely why we are spending an extra £100 million on it next year, which I hope the hon. Gentleman will welcome.",1998-03-11,NULL
40365,"It is no good hiding behind the chief medical officer. Ministers are paid to make judgments and to take responsibility for them. Is it not the truth that the regulations were drafted in haste and without proper consultation? The Institute of Trading Standards Administration says that the Government have left it to enforce the unenforceable. With a legal touch like that, it is no wonder the Prime Minister gave up the Bar for politics—unlike the Minister of Agriculture, Fisheries and Food, who sometimes gives up politics for the bar.","Mr. Hague","What the right hon. Gentleman says about the judgment happens to be wrong. It was based on a technicality, and we have been given leave to appeal. As my right hon. Friend the Minister of Agriculture has always said, it is necessary for the ban to  remain until the scientific and medical evidence shows that the threat is receding. In the light of the history of bovine spongiform encephalopathy—the right hon. Gentleman will be familiar with that—it would not be sensible to act contrary to the strong advice of the chief medical officer, which I quoted. If the right hon. Gentleman believes that it would be right, he is not acting responsibly.",1998-04-22,NULL
40482,"Does the Prime Minister agree that, one, the efforts of the international community so far to persuade President Milosevic to exercise some restraint in Kosovo have had no visible effect; two, that the situation in the province is now speedily deteriorating; and, three, that in these matters it is far, far better to take strong, preventive action early than to wait until one is left with doing too little, too late?","Mr. Paddy Ashdown","I agree with that. The first meeting of the working group, which was convened in part by Britain, took place a few weeks ago; and, subsequent to that, a series of further meetings have taken place. In addition, Mr. Rugova is now in Washington and has met President Clinton; there will be an attempt to have further dialogue between him and Mr. Milosevic. I want to make it very clear that we are watching the situation in Kosovo extremely carefully. We believe that we cannot afford to have an extension of violence and disorder there— Before, in a similar situation nearby, the international community acted with great firmness, and we must make sure that we do the same again. In answer to the question from the Opposition Benches, "Why bother?" we bother because disorder in that part of the world would have a huge impact on all of us, including this country.",1998-06-03,NULL
40599,"Is my right hon. Friend aware that, on the radio this morning, the shadow Chancellor talked about a 20 per cent. increase in spending, but then went on to say that, for every £4 spent now, £5 would be spent in future? By my reckoning, that is not a 20 per cent. increase. Does that not tell him a lot about the quality of the Opposition— Does what the shadow Chancellor said not show the need for radical investment in education for numeracy, as we have proposed? Does what the shadow Chancellor said not show the need for radical investment in education for numeracy, as we have proposed?","Mr. Tom Levitt","We do have an excellent adult numeracy programme. When the shadow Chancellor was on the radio this morning, he was also asked, "Mr. Maude, can you really have it both ways—asking for increased spending but opposing overall increased spending?" and he said, "Oh, of course we can." The truth of the matter is that the Opposition really do not know where they stand—but they cannot have it both ways. Yesterday,  they decided that they opposed the spending that we have put forward, so they will go into the next election opposing all the good things that we are doing for schools and hospitals.",1998-07-15,NULL
40716,"The Prime Minister will be aware that, in another place this  afternoon, there will be a vote on whether next year's European elections will operate under the completely undemocratic closed list system that he prefers, or under a preferable open list system, which gives voters some choice. Indeed, I hear talk that he and his colleagues are so worried about the result that Liberal Democrat peers are being invited to vote against their party's policy and in favour of the Government's. Why does the Prime Minister object so much to giving voters choice and the freedom to express individual views on whom they want to send to the European Parliament? Will he admit that, for him, when it comes to competition between open democracy and central control, democracy loses every time?","Mr. Damian Green","One of the great advantages of having the Home Secretary sitting near me is that he can inform me that the closed list system was pioneered by the previous Government in Northern Ireland.",1998-11-04,NULL
40833,"On Iraq, is my right hon. Friend aware that, although there is overwhelming support in the United Nations for policies to bring about conformity with UN resolutions, if Britain and America bomb Iraq it will be contrary to the charter of the United Nations which requires the unanimity of the five permanent members; it will be illegal in international law; it will cause the death of many innocent people, and 200,000 Iraqis were killed in the Gulf war, leaving Saddam stronger; and it will inflame the middle east? Why does my right hon. Friend do everything that he is told to do by President Clinton, instead of taking an independent view in support of the charter, which has always been central to the policy of the party that he leads?","Mr. Tony Benn","Such action would not be unlawful at all, for this reason. I take it as agreed between my right hon. Friend and me that the regime of Saddam Hussein must be prevented from building those weapons of mass destruction.",1998-12-16,NULL
40950,"In December last year, I called on the Prime Minister to give the British people and the House a White Paper on the constitutional, economic and political implications of joining the single currency. He refused. Is he now aware that there is a early-day motion on the Order Paper signed by Labour Members, Liberal Democrats, Euro-sceptics and Europhiles on both sides of the House and by hon. Members representing the Ulster parties, calling on the Prime Minister to provide the British people with the truth about the constitutional, political and economic questions arising from the single currency? Will he now review the position set out in the White Paper?","Mr. William Cash","I congratulate the hon. Gentleman on becoming a consensus politician after all these years. The position that we set out is the right one. Of course there should be a full and proper public debate, and we look forward to being part of that debate. Whether or not his Front Bench would wish it, I am sure that the hon. Gentleman will also be part of that debate, but it should cover the whole range of issues in respect of monetary union. Frankly, we can have that debate without White Papers, but it should be based around the facts. However, the hon. Gentleman, and very many now—it is probably the majority position in the Conservative party—have set themselves against monetary union irrespective of the arguments and before the debate has even taken place. I believe that that is wrong and contrary to the best interests of the country.",1999-02-10,NULL
41067,"Is the Prime Minister satisfied that the Chancellor's written reply about who leaked the Social Security Committee draft report meets the requirements for openness in the code of conduct for Ministers?","Mr. Flight","Yes, I am satisfied.",1999-03-31,NULL
41184,"Will the Prime Minister confirm that the total salary paid to an individual who is a Member of the House, a Member of the National Assembly for Wales, and is also Secretary of State for Wales and First Secretary of the National Assembly for Wales is £187,122?","Mrs. Angela Browning","I have just been informed that the hon. Lady is wrong about that figure, and the individual does not get the amount to which she referred.",1999-05-19,NULL
41301,"When the Prime Minister talks of obstructiveness and resistance to change in the public sector, are doctors one of the groups that he has in mind?","Mr. A. J. Beith","No, I am not attacking doctors, but let us take the example of the PFI, which they have attacked. We are going to deliver the largest hospital-building programme that the health service has ever seen. We will deliver it on cost and on time. I think that experience shows that such developments, delivered through the private finance initiative, are better for the patient, and therefore better for the health service as a whole. I am not attacking doctors, or any other group of workers; I am saying that we need change in our public services—and this Government, who are putting more money into the public services than has ever been put into them before, are entitled to demand real change in return.",1999-07-07,NULL
41418,"If achieving social and economic inclusion is the biggest challenge a Government can set themselves, what decisive action will the Prime Minister take to guarantee the efficient and effective delivery of public-matched funds to the poorest regions of the United Kingdom, namely European Union objective 1 regions?","Mr. Andrew George","We are looking at how we can make the proper arrangements for the co-ordination of matched funding. Under the new procedures and the new deal that we secured, 75 per cent. of the money for objective l comes from the European Union. That is a big increase on the previous position. As a result of objective 1 status being given to Cornwall, which is the area represented by the hon. Gentleman and others, it will receive some £320 million during the next seven years.",1999-11-03,NULL
41535,"The Prime Minister's Government has, since May 1997, dealt with many of the bad policies that we inherited from 18 years of Tory rule. Will he look at an issue that is causing housing problems in many parts of the country—the fact that we treat VAT on new build totally differently from VAT on improvements and repairs to our housing stock? Is it not time that we had parity, to enable us to deal with our housing in a better way?","Mr. Peter L. Pike","I think I should treat that as an early Budget submission and leave it to the good offices of the Chancellor.",2000-01-12,NULL
41652,"Will the Prime Minister say why council tax payers should have to pay more to house the nation's asylum seekers?","Mr. Richard Ottaway","In fact, we provide help to local authorities that face the pressures of asylum seekers and we are trying to make sure that, in circumstances where they face additional costs, we do what we can.",2000-03-01,NULL
41769,"Millions of people are threatened with famine in Ethiopia. What are we doing to help?","Ann Clwyd","From memory, I think that according to the latest figures from the Department for International Development we are providing about 10 million tonnes of food aid for people in Ethiopia. I think the total cost is more than £2.5 million, but we are also attempting to do other things. As my hon. Friend knows, the continuing conflict in Ethiopia and Eritrea is one of the main reasons why this is such a problem. We  are doing everything that we can to bring the sides together. We are providing immediate aid and we are trying to work on a long-term solution.",2000-04-05,NULL
41886,"We have not forgotten Romsey.","Jackie Ballard","The hon. Lady is right to say that I did get some briefing on her question.  I will tell the hon. Lady what it says here anyway. The numbers registered with dentists in Somerset are increasing—they are 5,000 up on last year. However, I accept that NHS dentistry went into steep decline under the previous Government. We are now acting at every single point on the health service, but it will take time. We have set the date for the end of next year to make sure that everyone who wants access to NHS dentistry can have it. The numbers are already up. Up to 800,000 more people have had the opportunity to register with a dentist. Dentist figures in England are up to 18,000, but there is still a long way to go. I recognise that in the hon. Lady's constituency and elsewhere there may be people who still have to be dealt with under the programme, but given time we will do it.",2000-05-17,NULL
42003,"As a precaution, may I ask the Prime Minister if he would be kind enough to answer the specific question that I am about to ask, rather than the question that he hopes I am going to ask? Is he aware that, today in mid-Essex—I am not interested in the rest of the country—1,600 more people are on a hospital waiting list than on 2 May 1997? Can he explain to my constituents and to me why, in mid-Essex, there has not been a single day since 2 May 1997 when hospital waiting lists have been lower than when the Conservative Government left office?","Mr. Simon Burns","I will not respond to the hon. Gentleman about the detail of his own constituency because I do not know it, but I will make sure that I get the response. However, if we are to reduce hospital waiting lists—of course, the in-patient lists have come down nationally by 100,000—we have to make an investment in more nurses, doctors and facilities in the health service.  It is no use the hon. Gentleman shaking his head: he is against that extra investment in the health service. He is going to go into the next election— Oh, yes. I am afraid that at some point Conservative Members are going to have to answer a few questions on policy. If they go into the next election holding to their tax guarantee, then, as my predecessor, the former leader of the hon. Gentleman's party, said, the only way that their tax policy can be made to add up is swingeing cuts in education and health. That  is the fact; so although there are people in his area entitled to ask for more money in mid-Essex to cure the waiting list problem, he is not one of them.",2000-07-05,NULL
42120,"Does my right hon. Friend welcome, as I do, the publication of Mr. Justice Colman's report on the reopened inquiry into the sinking of the MV Derbyshire? The report exonerates the master and crew of any blame for the sinking. Will he join me in congratulating the families of the 44 people who died? Those families fought a 20-year campaign to get at the truth of what happened. Will he also join me in congratulating the Deputy Prime Minister, whose determination to reopen the inquiry has been so fully vindicated today?","Maria Eagle","I am happy to offer my congratulations on the campaign and pay tribute to the families of those who lost their lives. As my hon. Friend said, that campaign stretches over 20 years. We studied the matter very carefully on coming to office and, indeed, before that—my right hon. Friend the Deputy Prime Minister has had a long-standing commitment to this issue. We established the inquiry and we shall now study the results. I am pleased that, after two decades of trying, we are finally getting closer to the truth of what happened. We are now able to study the results of that report and take appropriate action.",2000-11-08,NULL
42237,"As the Prime Minister has introduced a fully elected Scottish Parliament accountable to the people, fully elected Assemblies in Wales and Northern Ireland and a fully elected Assembly in London, could I persuade him to come out in favour of a fully elected Parliament, which most countries have? Appointing people by patronage is no basis for law making. Will the Prime Minister give a single reason why we should not have a fully elected Parliament in this country?","Mr. Tony Benn","I will give my right hon. Friend a simple reason. In my view, the second Chamber is a revising Chamber. We do not need two Chambers competing against one another. This Chamber is the proper Chamber for democratic authority and overall control, and that is why I do not believe in a fully elected second Chamber, in which my right hon. Friend believes. As for the issue of patronage, before Opposition Members start talking about it, I am the Prime Minister who is introducing the first restrictions on prime ministerial patronage. No doubt Opposition Members are keen on that now, but it slipped their minds in 18 years of government.",2001-01-10,NULL
42354,"The announcement today that unemployment has fallen below 1 million will be welcomed by my constituents in Don Valley, where unemployment has been halved and youth unemployment has gone down by 86 per cent. In South Yorkshire, 178,000 industrial jobs were lost between 1979 and 1997. Will my right hon. Friend assure me that Labour in government will continue to fight for jobs, but also to fight for the range of skills and jobs that will ensure that South Yorkshire has a prosperous future?","Caroline Flint","My hon. Friend is right to point out that there are over 1 million more jobs in the economy now, which takes us to a total of 28 million—more people in work today in Britain than ever before. But she is also right to point out the success of the Government's measures, in particular the new deal, which has taken 275,000 people off benefit and put them into work. The tragedy is that that policy, which has given us the lowest unemployment levels for 25 years, is opposed by the Opposition, who would scrap that policy were they returned to power. In committing themselves to that, they show their true colours. Such a policy will be bitterly opposed by many people in Britain who believe that everyone, not just a few, should have the chance to succeed.",2001-03-14,NULL
42471,"Does the Prime Minister envisage, as part of his radical health service reforms, the creation of specially built surgical units, managed and run by the private sector?","Mr. William Hague","As we said in our manifesto, the management of those surgical units could be in the private sector, but those surgical units themselves and their staff will be in the public sector.",2001-06-27,NULL
42588,"If he will list his official engagements for Wednesday 7 November.","Paddy Tipping","This morning, I had meetings with ministerial colleagues and others. Later today, I shall go to America to meet President Bush.",2001-11-07,NULL
42705,"How easy, in the Prime Minister's view, will it be for Yasser Arafat to hunt down and hand over the terrorists responsible for the 25 brutal murders in Israel when he and his security infrastructure are being bombed by the Israelis, and the Americans are failing actively to call for restraint?","Geraint Davies","First, I should express sympathy—I know on behalf of the whole House—for the savage acts of terrorism that killed so many innocent Israelis just a short time ago. It is important in my view that the Palestinian Authority does everything it possibly can to ensure that those in the organisations responsible for those attacks are rounded up and put under proper lock and key. That is the very minimum that the international community needs to see from the Palestinian Authority. Although there may be difficulties in certain areas in the authority acting in that way, it is necessary that it does so, and it must show that it is doing everything possible to  ensure that those responsible for those atrocities are withdrawn from their population and put, as I say, under proper lock and key.",2001-12-05,NULL
42822,"Can the right hon. Gentleman tell my constituents in Beckenham whether Ken Livingstone's proposed increase of 35 per cent. in the precept for the Greater London Authority is a fair and reasonable settlement, or is it a stealth tax?","Mrs. Jacqui Lait","It is for the Mayor of London to propose the charges. I am afraid that the Labour candidate was not successful in the mayoral elections, as I know only too well. If the hon. Lady wishes to have a lower charge, she should take the same position as Labour Members of the Assembly. They are trying to make sure that the Mayor's plans are more responsible.",2002-01-23,NULL
42939,"Is my right hon. Friend aware that it is costing the taxpayer £400 million a year to clear up the millions of tons of litter dropped on our streets and in our open spaces? Although we have litter laws, only a few hundred prosecutions are made a year. As my private Member's Bill seems unlikely to find parliamentary time——will he introduce legislation to allow councils to keep the money raised through fixed penalty fines, so that they can employ people to enforce the litter laws? That way, we can clear up this country and make the polluter pay.","Mr. Bob Blizzard","I am aware of my hon. Friend's ten-minute Bill. The Government in principle support the proposal to allow local authorities to spend the money that they get from fines on improving the litter situation in their area. As one part of that, we have recently increased—indeed, doubled—the penalties for litter, and  it is important that we continue to make every effort that we can to deal with a problem that may seem trivial, but which is very important for people in their local communities.",2002-03-06,NULL
43056,"With a shortfall of 500 police across England, the reality facing the Government is that we need more police on the beat, not people acting as police.","Mr. Duncan Smith","First, let me remind the right hon. Gentleman that overall crime doubled under the last Conservative Government, whereas it has fallen under the Labour Government. Secondly, on the number of police officers, in the years before we took office police numbers were falling, not rising, whereas now this country has record numbers of police officers. Thirdly, on street crime, I am sorry that he thinks that nothing is being done; in fact, in the past few weeks, as a result of the Metropolitan police's safer streets initiative, street crime has fallen, not risen. As a result of the additional measures being taken, we are confident that by the end of September we will have brought that problem under control, although it will of course be difficult.",2002-04-24,NULL
43173,"In light of the reports of a college placing creationism and evolution on the same terms, does the Prime Minister agree that the national curriculum should be clarified to prevent the two being presented as scientific equivalents? Does he also agree that it is better to draw a clear line now, rather than later, to deal with the consequences of those teachers who abuse their position?","Mr. Piara S. Khabra","We must be careful of exaggerating the issue of creationism in schools. I say to my hon. Friend that the national curriculum already provides certain safeguards. Of course those safeguards are kept under review, but I am hesitant myself about saying that those particular issues should be dealt with if it is the case, as I believe, that the school in question is a good school, providing a good service for its pupils.",2002-05-22,NULL
43290,"The United States Administration are taking the view that further military action against Iraq would not require new United Nations security resolutions. Does the Prime Minister agree?","Mr. Charles Kennedy","We must certainly take any action in accordance with international law, but as the Foreign Secretary made clear when he spoke about this is the House a few months ago, that does not necessarily mean that there will be a new United Nations resolution. However, we will make sure that whatever we do—as I say constantly, no decisions have yet been taken—should be in accordance with international law.",2002-07-17,NULL
43407,"Before the last election, the Prime Minister said:","Mr. Duncan Smith","They can believe it precisely because the language that we used in the manifesto is language that I am happy to repeat now. Before the right hon. Gentleman accuses us of any particular course of action, I suggest that he awaits the outcome of the review, when he may find that some of his strictures are unjustified.",2002-11-06,NULL
43524,"Last week, I was told about a child in my constituency who could not sleep, not because she was over-excited about Father Christmas but because she was afraid that some lout might smash the windows of her mum's flat or put a lighted match through the letter box. While I know that the Prime Minister will want to join me in congratulating north Kent police on cutting crime by a further 5 per cent. over the past year, will he assure the mother of that child that he will not let up in his determination to deal with loutish and antisocial behaviour, which still creates a climate of fear? Will he also ensure that the police and local authorities continue to be given the resources they need to tackle the problem, rather than taking the advice of the Conservatives and cutting them?","Mr. Chris Pond","First, I can assure my hon. Friend that we will do all that we can to deal with this issue. I congratulate Kent police on their great achievement of reducing crime in the Kent area. The key is simple and effective ways of enforcing the law on antisocial behaviour. That is why it is important that we streamline the antisocial behaviour orders. I also hope that the House will support the measures in the forthcoming Bill to make it far easier to impose fixed penalty notice fines for a range of antisocial behaviour offences, because the law will be used effectively only if there is a simple way of enforcing it.",2002-12-18,NULL
43641,"Following the likely local government settlement, Devon county council—which is run by all parties, including the Conservatives and Labour—has estimated that the council tax increase will be 15 to 20 per cent. Can the Prime Minister say whether that increase will be the same for pensioners?","Q5. [93754] Richard Younger-Ross","I do not know what council tax that council will fix—that is a matter for it—but I can tell the hon. Gentleman that, as a result of the extra settlement, we are putting somewhere in the region of a 6 per cent. real-terms increase into local government. It is therefore very important that he recognises that, whatever the authority, that is infinitely more generous than the settlement in the Conservative years.",2003-01-29,NULL
43758,"Will my right hon. Friend join me and all other Members in sending sympathies and deepest condolences to Gordon Evans and Theresa Evans, the parents of Llywelyn Karl Evans, who sadly lost his life in the helicopter accident last week? Will he assure us that that family, and indeed other families, will receive professional advice, counselling and support for as long as is necessary?","Mrs. Betty Williams","Again, let me express my condolences and those of the whole House, and indeed the country, to the family of my hon. Friend's constituent who lost his life in that tragic helicopter accident. I assure my hon. Friend that we will ensure that the counselling and advice that are necessary will be there for that family, as they will be for the families of others who have lost their lives in the conflict.",2003-03-26,NULL
43875,"On the Iraq issue, on 25 April, the Foreign Secretary said that the United Nations would have a vital role to play in the search for Iraq's weapons of mass destruction. Now, the United States ambassador at the UN has said that the UN will have no role for the foreseeable future. Who is right?","Mr. Charles Kennedy","I have always said that there should be independent verification at the end of whatever finds we make in respect of weapons of mass destruction. I have no doubt that the UN will be involved in that, and what the American ambassador to the UN was saying was simply that coalition forces, who are currently seeking to restore security on the ground, are not going to have the UN back in now, although we are in discussion with the UN and allies as to how we can have such independent verification later.",2003-05-14,NULL
43992,"In view of the constitutional dog's breakfast that the Prime Minister has created in the relationships between England, Scotland, Wales and Northern Ireland, will he now appoint a Secretary of State for England—preferably an Englishman—to answer to the House on exclusively English matters?","Mr. John Butterfill","I confess that I thought the Conservatives had now come to accept devolution in Scotland and Wales, but I assume from what the hon. Gentleman says that they have not. All that that indicates— Well, that was the purpose of the hon. Gentleman's question. It only goes to show how completely out of date the Conservative party is.",2003-06-18,NULL
44109,"Does the Prime Minister agree with his chief inspector of schools that the exam system should undergo major reform? Or does he agree with the head teachers in my constituency, who want stability for their students and not more disruption and uncertainty?","Angela Watkinson","I certainly understand why the hon. Lady's head teachers, and others, say that they want stability. The Tomlinson report is a long-term look at what is happening in our exam system. Most people would like us to investigate that, to make sure that our exam system for 14 to 19-year-olds is up to the standard of other countries. Therefore, I do not think that it is wrong to have the report, and we will study its impact very carefully. However, I hope that the hon. Lady will agree that one of the things that her head teachers will welcome, despite the recent difficulties, is the record investment in our school system.",2003-07-16,NULL
44226,"Staying on the subject of President Bush's state visit next week, presumably the Prime Minister will raise with him the continuing indefensible situation of the British citizens being held in illegal limbo at Camp  Delta. Will the Prime Minister confirm that he will raise that issue with the President, and can we now expect a positive outcome to it, once and for all?","Mr. Charles Kennedy","We have been in discussion with the American Administration about this issue for several months, and I hope that we can resolve it quickly. It is important to ensure—in the way that I have indicated to the right hon. Gentleman before—that it is resolved on the basis of a proper trial being held in respect of these people, any of whom can be charged. If that cannot be done, it is important that they should be returned. I do not want to say any more at this stage, other than that we are trying to resolve the situation, and that it is important that we do so. I hope, however, that the House and the country also take account of the fact that this situation—which I agree is exceptional—arose out of the situation in Afghanistan and out of a conflict in which British troops were involved. As well as ensuring that people get a fair trial, it is also important to protect the security of this country.",2003-11-12,NULL
44343,"If he will list his official engagements for Wednesday 14 January.","Henry Bellingham","This morning I had meetings with ministerial colleagues and others. In addition to my duties in this House, I will have further such meetings later today.",2004-01-14,NULL
44460,"The deal that the Prime Minister is offering to the unions is that the Labour party gets £6 million from the trade unions, and the unions get £10 million from taxpayers in return. That is not a bad deal. Is that what the Prime Minister meant when he said that the trade unions would get "fairness but no favours" from a Labour Government?","Mr. Howard","I am glad to see that the right hon. and learned Gentleman's attitude to trade unions has changed not one whit. After all, when in government, he opposed the minimum wage, the social chapter and the right of people to join a trade union, even when they wanted to. I am sorry that he is still stuck in the same old groove. ",2004-02-11,NULL
44577,":Will my right hon. Friend join me in welcoming today the Palestinian parliamentary delegation, which is watching our proceedings, and which, as you know Mr. Speaker, is led by your counterpart in the Palestinian legislative council? He comes from Gaza, where 100 homes have been demolished in the last few days and 3,000 over three years—in contravention of the fourth Geneva convention. Will my right hon. Friend join me in condemning that destruction of homes? As a high contracting party to that convention, what will Britain do to ensure that it is enforced?","Richard Burden",":I join my hon. Friend in welcoming the delegation from the Palestinian Parliament. I assure them that the exchanges that have just taken place do not represent the total sum of what happens in parliamentary proceedings. My hon. Friend makes a very serious point. We entirely understand Israel's concerns about acts of terrorism, but what happened yesterday was unacceptable and wrong.",2004-05-19,NULL
